Gene,N2_16C_1_S10,N2_25C_1_S16,WH171_16C_2_S20,WH171_25C_1_S25,WH171_22C_2_S23,N2_22C_2_S14,BP175_16C_3_S3,BP175_25C_3_S9,WH171_25C_2_S26,WH171_16C_1_S19,N2_16C_2_S11,N2_25C_3_S18,WH171_25C_3_S27,BP175_22C_1_S4,N2_22C_1_S13,BP175_16C_1_S1,BP175_16C_2_S2,BP175_25C_2_S8,N2_25C_2_S17,N2_22C_3_S15,WH171_16C_3_S21,BP175_25C_1_S7,WH171_22C_1_S22,BP175_22C_3_S6,N2_16C_3_S12,BP175_22C_2_S5,WH171_22C_3_S24
aap-1,320,158,203,150,190,150,112,91,149,259,351,168,188,63,208,160,146,84,173,282,200,114,180,55,357,60,209
aat-1,8,6,4,0,0,0,0,2,2,0,5,2,2,4,2,4,4,2,0,0,1,4,0,6,0,0,0
aat-2,2,4,0,0,14,0,2,0,6,0,0,6,2,41,2,4,0,8,6,1,2,4,16,3,0,10,13
aat-3,15,16,4,37,0,0,1,13,34,6,11,2,19,1,1,3,2,7,12,2,5,14,4,9,4,0,2
aat-4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0
aat-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aat-6,3,17,8,0,15,8,2,4,4,9,5,9,11,6,10,5,7,4,2,19,8,0,15,3,5,3,5
aat-7,0,10,1,0,1,0,0,0,0,1,0,10,1,0,0,0,0,0,1,0,1,0,7,0,0,0,4
aat-8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0
aat-9,6,25,14,27,17,5,16,27,25,17,12,20,20,29,19,17,5,19,20,23,12,24,27,15,10,15,31
abf-1,8,4,2,7,4,10,5,8,13,3,2,22,8,1,13,7,13,7,30,22,8,14,34,0,7,2,18
abf-2,2,6,12,7,3,12,0,7,7,4,0,9,8,3,7,2,1,8,15,3,4,8,0,0,2,2,3
abf-3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0
abf-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abf-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,4,0,2,0,0,0,8
abl-1,10,1,3,0,4,4,2,0,4,5,5,11,1,2,5,5,8,2,3,1,6,2,0,1,0,2,7
abt-1,1,2,0,4,6,0,5,3,5,0,0,0,5,0,0,0,4,4,2,0,0,4,0,0,0,0,0
abt-2,1,0,0,0,6,3,0,0,1,0,6,4,1,8,0,0,0,6,0,1,0,2,0,0,0,1,2
,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
abt-4,0,2,0,2,6,0,2,0,2,0,2,4,0,0,6,2,2,12,9,0,0,14,0,8,0,0,0
abt-5,0,0,0,2,0,0,2,4,2,0,0,2,0,2,0,3,1,2,9,10,1,0,0,0,0,4,1
abu-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-2,0,6,0,3,2,1,1,6,5,0,1,1,6,1,0,2,1,5,4,0,0,8,0,0,2,1,0
,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
abu-4,4,13,0,2,7,8,12,8,13,0,7,7,0,1,2,0,3,7,5,2,2,3,4,12,0,6,12
abu-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abu-8,2,16,2,4,6,10,6,21,6,0,0,7,14,2,0,9,14,29,16,1,1,26,2,12,0,15,12
abu-9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abu-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
abu-11,1,2,6,12,2,2,7,10,1,5,12,6,4,4,1,6,1,7,17,4,3,15,1,0,4,4,3
